,id,latitude,longitude,price
213,739227,38.71048,-9.14336,124.0
214,741243,38.68475,-9.34379,131.0
215,741631,38.71285,-9.14526,136.0
216,742502,38.71326,-9.13773,305.0
217,743292,39.01075,-9.41653,210.0
218,744454,38.89021,-9.31018,60.0
219,748394,38.73204,-9.13374,34.0
221,635040,38.80051,-9.39353,90.0
223,643914,38.69555,-9.29309,152.0
225,645500,38.70254,-9.1999,60.0
226,646351,38.72606,-9.1309,115.0
227,646461,38.68133,-9.33027,166.0
228,653686,38.71507,-9.13115,92.0
229,654182,38.70464,-9.19741,58.0
230,751725,38.70945,-9.15873,340.0
231,751806,38.71046829223633,-9.134815216064451,108.0
232,753685,38.70969,-9.14167,100.0
233,754658,38.71227,-9.13208,86.0
235,757865,38.74996,-9.13358,180.0
236,760499,38.71274,-9.13625,103.0
237,656771,38.71188,-9.14874,78.0
238,658135,38.99253,-9.39914,100.0
239,669690,38.713829040527344,-9.129521369934082,58.0
240,679226,38.72109,-9.1344,81.0
241,681723,38.71241,-9.12574,83.0
242,688279,38.71614,-9.15307,305.0
244,693886,38.72409,-9.13139,351.0
245,696683,38.71183,-9.15138,100.0
246,700509,38.71281,-9.14677,80.0
248,763199,38.76793,-9.12509,19.0
249,764915,38.71192,-9.14714,74.0
250,766765,38.71146,-9.1469,125.0
251,776285,38.71448,-9.12453,131.0
252,783713,38.72128,-9.14353,78.0
253,785650,38.71274,-9.14142,107.0
254,785822,38.71027,-9.14686,164.0
255,701131,38.71206,-9.15124,114.0
256,704203,38.71095,-9.14837,105.0
257,704462,38.70907,-9.13507,79.0
258,860424,38.7114,-9.14432,98.0
259,865779,38.86133,-9.35597,220.0
260,869312,38.72113,-9.14075,72.0
261,870275,38.71641,-9.13977,74.0
262,870384,39.28231,-9.24619,68.0
263,873215,39.26432,-9.33019,69.0
264,786813,38.71022,-9.13193,118.0
265,787004,38.70981,-9.13384,165.0
266,787134,38.69779,-9.20347,113.0
267,787414,38.71699,-9.14733,160.0
268,789789,38.71121,-9.14693,101.0
269,790907,38.70898,-9.14708,89.0
270,791190,38.70914,-9.1458,154.0
271,792158,38.79675,-9.39181,88.0
272,792168,38.714973,-9.162873,124.0
273,795692,38.71151,-9.1299,58.0
274,796929,38.71991,-9.13289,137.0
275,880865,38.71645,-9.13823,70.0
276,888141,38.7091,-9.13599,158.0
277,890016,38.710369,-9.143807,153.0
278,896173,38.72012,-9.16876,64.0
279,896591,38.70758,-9.14022,140.0
280,898363,38.71306,-9.13284,100.0
281,903287,38.98713,-9.41596,65.0
282,906305,38.70877,-9.15169,66.0
283,906831,38.7163,-9.14314,125.0
284,907042,38.71166,-9.13852,60.0
285,797650,38.73928,-9.13471,72.0
286,801587,38.95202,-9.41257,139.0
287,804869,38.71147,-9.12931,72.0
288,804957,38.71648,-9.13857,62.0
289,805264,38.71022,-9.12776,95.0
290,808192,38.716621,-9.133551,33.0
291,819589,38.71314,-9.13701,233.0
292,821922,38.70585,-9.16998,104.0
293,910109,38.70399084720352,-9.19647446625353,63.0
294,911602,38.716564,-9.133464,33.0
295,911777,38.7131812,-9.1331545,72.0
296,913734,38.71205,-9.1438,86.0
297,919036,38.7114,-9.12767,86.0
298,919557,38.71142,-9.12984,67.0
299,922585,38.71226,-9.15092,71.0
300,828063,38.7141,-9.14637,63.0
301,828360,38.71245,-9.1482,77.0
302,829448,38.70859379713662,-9.15150336921215,180.0
304,834653,38.70988,-9.14886,60.0
305,922645,38.72767,-9.1655,82.0
306,925301,38.716434,-9.133377,26.0
307,925378,38.71664,-9.133519,28.0
308,925879,39.14607,-9.23349,106.0
309,931101,38.71288,-9.12907,116.0
310,935811,38.70932,-9.15131,90.0
311,942483,39.26519,-9.3293,69.0
312,942510,39.26546,-9.33042,27.0
313,942922,38.71098,-9.14835,150.0
314,834674,38.71274,-9.12841,83.0
315,838844,38.7152,-9.13492,63.0
316,842105,38.71266,-9.12852,77.0
317,842337,38.71388,-9.14513,25.0
318,845724,38.71148,-9.12883,60.0
319,850008,38.71648,-9.13857,71.0
320,851559,38.71009,-9.15004,86.0
321,944662,38.72295,-9.14489,82.0
322,944960,38.70775,-9.16027,35.0
323,945673,38.71258,-9.12498,52.0
324,951717,38.7046,-9.16718,46.0
325,961554,38.71179,-9.12488,70.0
326,976954,38.70898,-9.13636,149.0
327,977488,38.69705,-9.19974,68.0
328,984260,38.71228,-9.14324,85.0
329,852766,38.71684,-9.15264,100.0
331,1100687,38.72461,-9.14378,109.0
332,1106913,38.71044,-9.13984,119.0
333,1109704,38.72071,-9.14265,39.0
334,1110107,38.72173,-9.14113,137.0
335,1112596,39.10452,-9.2626,67.0
336,1113013,38.713902,-9.146406,66.0
337,987973,38.71101,-9.14733,89.0
338,1006307,38.71701,-9.14389,109.0
